S. No,State,Year,Season,Scheme,District Name,Insurance Units,Farmers,Application_Loanee,Application_Non-Loanee,Thousand Hect._Area Insured,Amount In Lac._Farmers Premium,Amount In Lac._State Premium,Amount In Lac._GOI Premium,Sum Insured (In Lac.),Gender (%)_Male,Gender (%)_Female,Gender (%)_Others,Category (%)_SC,Category (%)_ST,Category (%)_OBC,Category (%)_GEN,Type of Farmer (%)_Marginal,Type of Farmer (%)_Small,Type of Farmer (%)_Others,Claim Paid (In Lac.)_Prevented Sowing,Claim Paid (In Lac.)_Localized,Claim Paid (In Lac.)_Mid-term,Claim Paid (In Lac.)_Yield Based,Claim Paid (In Lac.)_Post Harvest,Claim Paid (In Lac.)_WBCIS,Claim Paid (In Lac.)_Total Claim Paid,Claim Paid (In Lac.)_Total Farmer Benefit(Actual)
1,CHHATTISGARH,2018,1,4,Balod,429,"85,027","89,521","2,483",129.99,974.44,"2,046.53","2,046.53","48,721.85",87.15,12.77,0.08,4.92,30.06,58.64,6.38,32.7,46.78,20.52,0,5,0,786,0,0,791,"7,727"
2,CHHATTISGARH,2018,1,4,Baloda Bazar,623,"86,026","97,579","4,410",125.17,943.78,"2,161.57","2,161.57","47,189.07",89.31,10.64,0.05,19.54,11.15,64.92,4.39,14.03,74.38,11.59,0,1,0,"3,565",0,0,"3,566","23,861"
3,CHHATTISGARH,2018,1,4,Balrampur,403,"11,272","11,133",857,27.21,145.98,110.47,110.47,"7,299.10",90.76,9.07,0.17,1.9,46.31,30.73,21.06,24.45,48.82,26.73,0,0,0,109,0,0,109,"1,153"
4,CHHATTISGARH,2018,1,4,Bastar,332,"27,408","19,232","10,875",43.49,261.32,455.97,455.97,"13,066.07",82.9,17.04,0.06,1.49,70.44,16.28,11.79,22.76,61.88,15.36,0,0,0,"1,257",0,0,"1,257","10,849"
5,CHHATTISGARH,2018,1,4,Bemetara,399,"81,029","95,890","9,581",147.97,"1,054.34","3,038.94","3,038.94","52,717.22",89.33,10.59,0.08,11.99,2.51,76.82,8.68,17.82,59.96,22.22,0,2,0,"10,380",0,0,"10,382","50,536"
6,CHHATTISGARH,2018,1,4,Bijapur,128,"5,045","4,796",523,13.32,74.68,199.92,199.92,"3,733.93",82.08,17.79,0.13,7.48,75.9,10.85,5.77,25.34,61.89,12.77,0,0,0,306,0,0,306,"2,595"
7,CHHATTISGARH,2018,1,4,Bilaspur,650,"49,568","47,054","5,400",82.32,657.15,"1,573.69","1,573.69","32,857.34",88.36,11.53,0.11,18.03,17.28,54.97,9.72,19.33,58.25,22.42,0,0,0,"6,134",0,0,"6,134","30,406"
8,CHHATTISGARH,2018,1,4,Dakshin Bastar Dantewada,124,"8,639","1,761","7,539",21.02,113.5,283.75,283.75,"5,674.83",87.63,12.32,0.05,3.25,77.22,15.97,3.56,26.15,59.14,14.71,0,0,0,"1,122",0,0,"1,122","5,318"
9,CHHATTISGARH,2018,1,4,Dhamtari,369,"62,560","64,601","8,720",81.67,673.41,"1,071.72","1,071.72","33,670.67",87.98,11.98,0.04,4.57,27.12,64.76,3.55,17.98,63.28,18.74,0,14,0,"1,675",0,0,"1,689","17,188"
10,CHHATTISGARH,2018,1,4,Durg,337,"60,773","69,771","2,030",95.98,796.62,"1,426.19","1,426.19","39,831.03",86.32,13.58,0.1,8.91,3.29,80.84,6.96,20.82,55.05,24.13,0,5,0,"1,918",0,0,"1,923","14,564"
