S. No,State/UT,Year,Season,Scheme,Notified Districts,Insurance Units,Farmers,Application_Loanee,Application_Non-Loanee,Thousand Hect._Area Insured,Amount In Lac._Farmers Premium,Amount In Lac._State Premium,Amount In Lac._GOI Premium,Sum Insured (In Lac.),Gender (%)_Male,Gender (%)_Female,Gender (%)_Others,Category (%)_SC,Category (%)_ST,Category (%)_OBC,Category (%)_GEN,Type of Farmer (%)_Marginal,Type of Farmer (%)_Small,Type of Farmer (%)_Others,Claim Paid (In Lac.)_Prevented Sowing,Claim Paid (In Lac.)_Localized,Claim Paid (In Lac.)_Mid-term,Claim Paid (In Lac.)_Yield Based,Claim Paid (In Lac.)_Post Harvest,Claim Paid (In Lac.)_WBCIS,Claim Paid (In Lac.)_Total Claim Paid,Claim Paid (In Lac.)_Total Farmer Benefit(Actual)
3,CHHATTISGARH,2018,1,4,27,"10,990","11,91,580","11,96,410","1,66,368","1,989.32","14,300.02","32,191.26","32,191.26","7,15,001.08",87.95,11.95,0.1,9.42,24.11,59.85,6.62,20.59,59.4,20.01,0,56,0,"1,01,547",0,0,"1,01,603","5,32,266"
13,MAHARASHTRA,2018,1,4,34,"2,137","45,05,252","15,29,041","80,04,354","5,450.94","48,695.81","1,76,950.52","1,76,950.52","19,02,275.97",81.96,18,0.04,4.64,1.82,34.56,58.98,14.37,73.64,11.99,0,933,"1,865","3,48,357",0,0,"3,51,155","25,76,008"
2,CHHATTISGARH,2018,1,2,27,313,"6,101","2,648","4,531",5.63,283.48,"1,064.79","1,064.79","5,669.58",91,8.98,0.02,4.11,26.45,51.97,17.47,6.21,69.81,23.98,0,0,0,0,0,820,820,"5,751"
7,MAHARASHTRA,2018,1,2,25,799,"1,15,948","60,544","63,415",110.61,"6,016.66","27,419.50","27,419.50","1,20,333.26",84.47,15.49,0.04,10.61,0.63,19.1,69.66,13.19,65.81,21,0,0,0,0,0,"61,843","61,843","1,14,604"
3,CHHATTISGARH,2018,2,4,25,"3,789","1,68,584","1,36,142","54,088",272.28,"1,316.15","2,767.47","2,767.47","87,743.73",89.26,10.61,0.13,7.63,11.99,72.34,8.04,19.22,58.32,22.46,0,110,0,"5,520",0,0,"5,630","61,845"
13,MAHARASHTRA,2018,2,4,31,"1,674","23,88,824","1,51,602","48,00,177","3,077.77","12,440.52","38,103.62","38,103.62","7,65,465.55",81.63,18.35,0.02,4.55,0.78,31.1,63.57,13.55,74.4,12.05,"30,964","1,834",0,"94,197",0,0,"1,26,995","16,22,528"
2,CHHATTISGARH,2018,2,2,27,340,"7,721","2,045","7,002",4.14,193.34,377.5,377.5,"3,866.75",91.65,8.3,0.05,5.17,37.37,45.94,11.52,5.48,77.66,16.86,0,0,0,0,0,626,626,"6,376"
7,MAHARASHTRA,2018,2,2,30,"1,241","2,01,740","85,975","1,40,462",197.24,"11,680.40","23,015.93","23,015.93","2,33,607.93",83.82,16.13,0.05,3.51,0.84,28.9,66.75,14.86,70.62,14.52,0,0,0,0,0,"72,234","72,234","1,69,204"
3,CHHATTISGARH,2019,1,4,27,"18,559","13,24,319","33,59,308","3,30,821","2,199.62","16,367.22","49,076.90","49,076.90","8,18,361.35",89.02,10.89,0.09,9.74,22.06,63.13,5.07,22.5,52.6,24.9,0,90,0,"64,349",240,0,"64,679","4,21,243"
12,MAHARASHTRA,2019,1,4,34,"2,207","47,33,574","14,78,894","1,11,46,764","6,702.94","57,631.20","1,96,147.22","1,96,147.22","22,97,730.04",81.2,18.78,0.02,5,1.98,33.37,59.65,10.09,81.59,8.32,"11,914",459,0,"5,28,613","24,804",0,"5,65,790","44,01,791"
